------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
10pms_100ph-3dB.rec:   28.70( -4.10)  [H= 161, D= 50, S=350, I=184, N=561]
10pms_100ph-6dB.rec:   27.99( -4.99)  [H= 157, D= 35, S=369, I=185, N=561]
10pms_100ph00dB.rec:   30.84( -4.10)  [H= 173, D= 51, S=337, I=196, N=561]
10pms_100ph03dB.rec:   33.69(  0.18)  [H= 189, D= 61, S=311, I=188, N=561]
10pms_100ph06dB.rec:   36.01(  4.10)  [H= 202, D= 52, S=307, I=179, N=561]
10pms_500ph-3dB.rec:   29.59( -4.10)  [H= 166, D= 48, S=347, I=189, N=561]
10pms_500ph-6dB.rec:   27.99( -3.03)  [H= 157, D= 41, S=363, I=174, N=561]
10pms_500ph00dB.rec:   31.91( -1.96)  [H= 179, D= 63, S=319, I=190, N=561]
10pms_500ph03dB.rec:   34.58(  0.53)  [H= 194, D= 56, S=311, I=191, N=561]
10pms_500ph06dB.rec:   34.94(  4.10)  [H= 196, D= 55, S=310, I=173, N=561]
10poo_001ph-3dB.rec:   32.44(-16.22)  [H= 182, D= 58, S=321, I=273, N=561]
10poo_001ph-6dB.rec:   31.55(-18.54)  [H= 177, D= 51, S=333, I=281, N=561]
10poo_001ph00dB.rec:   35.29(-14.44)  [H= 198, D= 59, S=304, I=279, N=561]
10poo_001ph03dB.rec:   35.65( -6.95)  [H= 200, D= 50, S=311, I=239, N=561]
10poo_001ph06dB.rec:   39.75( -1.25)  [H= 223, D= 55, S=283, I=230, N=561]
10poo_005ph-3dB.rec:   30.66( -9.09)  [H= 172, D= 52, S=337, I=223, N=561]
10poo_005ph-6dB.rec:   31.37(-14.44)  [H= 176, D= 53, S=332, I=257, N=561]
10poo_005ph00dB.rec:   32.62( -9.80)  [H= 183, D= 55, S=323, I=238, N=561]
10poo_005ph03dB.rec:   35.47( -6.24)  [H= 199, D= 64, S=298, I=234, N=561]
10poo_005ph06dB.rec:   39.22(  1.78)  [H= 220, D= 56, S=285, I=210, N=561]
