"testNo","algorithm","Input.SNR","utterances","phonemes","filename","pesq","pesqImp","segSNR","segSNRImp","testName","MOS","MOSle","CMOS","PRRcorr","PRRacc","PRRdels","PRRsubs","PRRinss","PRRn","PRRcorrImp","PRRaccImp"
2,"mohammadiaOnline",0,80,NA,"mohammadiaOnline_080ut00dB.wav",2.011031,-0.253482,-1.955815,-0.354266,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",3,1,NA,"mohammadiaOnline_001ut03dB.wav",2.250941,-0.206202,6.569842,-6.694897,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",3,5,NA,"mohammadiaOnline_005ut03dB.wav",2.212041,-0.245102,8.289196,-4.975542,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",3,10,NA,"mohammadiaOnline_010ut03dB.wav",2.254076,-0.203066,11.611417,-1.653321,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",3,50,NA,"mohammadiaOnline_050ut03dB.wav",2.227459,-0.229683,12.379646,-0.885092,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",3,80,NA,"mohammadiaOnline_080ut03dB.wav",2.256506,-0.200637,10.558652,-2.706086,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",6,1,NA,"mohammadiaOnline_001ut06dB.wav",2.440568,-0.206941,10.183549,-3.341231,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",6,5,NA,"mohammadiaOnline_005ut06dB.wav",2.476952,-0.170557,7.04609,-6.47869,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",6,10,NA,"mohammadiaOnline_010ut06dB.wav",2.469267,-0.178242,13.4563,-0.068479,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",6,50,NA,"mohammadiaOnline_050ut06dB.wav",2.475874,-0.171635,11.845476,-1.679304,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",6,80,NA,"mohammadiaOnline_080ut06dB.wav",2.489641,-0.157868,11.384992,-2.139788,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,1,NA,"mohammadiaSupervised_001ut-6dB.wav",1.729683,-0.15178,-7.57674,0.419462,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,3,NA,"mohammadiaSupervised_003ut-6dB.wav",1.777351,-0.104112,-0.186456,7.809746,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,5,NA,"mohammadiaSupervised_005ut-6dB.wav",1.768678,-0.112785,-1.073418,6.922783,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,10,NA,"mohammadiaSupervised_010ut-6dB.wav",1.736656,-0.144807,-7.019113,0.977089,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,15,NA,"mohammadiaSupervised_015ut-6dB.wav",1.79832,-0.083143,-5.939102,2.0571,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,20,NA,"mohammadiaSupervised_020ut-6dB.wav",1.780191,-0.101272,-7.092273,0.903929,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,30,NA,"mohammadiaSupervised_030ut-6dB.wav",1.789547,-0.091916,-6.676697,1.319505,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,40,NA,"mohammadiaSupervised_040ut-6dB.wav",1.782531,-0.098932,-7.163657,0.832545,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,50,NA,"mohammadiaSupervised_050ut-6dB.wav",1.80982,-0.071643,-6.656732,1.33947,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,60,NA,"mohammadiaSupervised_060ut-6dB.wav",1.791205,-0.090259,-6.074054,1.922148,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,70,NA,"mohammadiaSupervised_070ut-6dB.wav",1.814019,-0.067444,-6.780156,1.216046,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-6,80,NA,"mohammadiaSupervised_080ut-6dB.wav",1.814219,-0.067244,-7.558027,0.438175,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,1,NA,"mohammadiaSupervised_001ut-3dB.wav",1.918556,-0.153896,-3.189663,4.704696,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,3,NA,"mohammadiaSupervised_003ut-3dB.wav",1.99622,-0.076232,3.784527,11.678885,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,5,NA,"mohammadiaSupervised_005ut-3dB.wav",1.985693,-0.086759,-3.552527,4.341832,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,10,NA,"mohammadiaSupervised_010ut-3dB.wav",2.000742,-0.07171,-5.957561,1.936797,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,15,NA,"mohammadiaSupervised_015ut-3dB.wav",1.965758,-0.106694,-6.744726,1.149633,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,20,NA,"mohammadiaSupervised_020ut-3dB.wav",1.995486,-0.076966,-6.551974,1.342385,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaSupervised",-3,30,NA,"mohammadiaSupervised_030ut-3dB.wav",2.043028,-0.029424,-5.586615,2.307743,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
